ds,y
2018-01-01,20.248
2018-01-02,20.169
2018-01-03,21.086
2018-01-04,21
2018-01-05,20.5
2018-01-06,20.1
2018-01-07,19.2
2018-01-08,19.1
2018-01-09,19.565
2018-01-10,18.484
2018-01-11,20.5
2018-01-12,20.1
2018-01-13,18.265
2018-01-14,18.202
2018-01-15,17.8
2018-01-16,17.6
2018-01-17,17.046
2018-01-18,17.5
2018-01-19,19.2
2018-01-20,19.5
2018-01-21,18.908
2018-01-22,17.8
2018-01-23,17.5
2018-01-24,17
2018-01-25,16.821
2018-01-26,16.803
2018-01-27,16.784
2018-01-28,17
2018-01-29,17.742
2018-01-30,17.719
2018-01-31,18
2018-02-01,18.52
2018-02-02,19.345
2018-02-03,19.123
2018-02-04,18.967
2018-02-05,18.52
2018-02-06,18.477
2018-02-07,19.432
2018-02-08,19.385
2018-02-09,18.7
2018-02-10,18.289
2018-02-11,18.242
2018-02-12,17.5
2018-02-13,17.151
2018-02-14,17.11
2018-02-15,17.072
2018-02-16,16.9
2018-02-17,17.1
2018-02-18,17.989
2018-02-19,18.2
2018-02-20,18.5
2018-02-21,17.962
2018-02-22,17.5
2018-02-23,16.979
2018-02-24,16.998
2018-02-25,16.024
2018-02-26,16.056
2018-02-27,17
2018-02-28,17.5
2018-03-01,19.1
2018-03-02,19.236
2018-03-03,19.289
2018-03-04,19.344
2018-03-05,19.4
2018-03-06,18.455
2018-03-07,18.276
2018-03-08,18.1
2018-03-09,18.1
2018-03-10,17.9
2018-03-11,17.8
2018-03-12,18.2
2018-03-13,18.25
2018-03-14,18.5
2018-03-15,17.7
2018-03-16,17.75
2018-03-17,17.6
2018-03-18,17.62
2018-03-19,17.8
2018-03-20,17.9
2018-03-21,18.5
2018-03-22,18.741
2018-03-23,18.876
2018-03-24,18.645
2018-03-25,18.679
2018-03-26,18.9
2018-03-27,19.178
2018-03-28,19.28
2018-03-29,19.234
2018-03-30,17.8
2018-03-31,17.768
2018-04-01,17.578
2018-04-02,17.534
2018-04-03,17.98
2018-04-04,17.6
2018-04-05,17.684
2018-04-06,17.9
2018-04-07,19.098
2018-04-08,19.123
2018-04-09,19.533
2018-04-10,19.423
2018-04-11,18.986
2018-04-12,19.138
2018-04-13,19.213
2018-04-14,19.289
2018-04-15,19.567
2018-04-16,19.441
2018-04-17,19.514
2018-04-18,19.584
2018-04-19,19.5
2018-04-20,19.711
2018-04-21,19.74
2018-04-22,19.579
2018-04-23,19.56
2018-04-24,19.578
2018-04-25,19.5
2018-04-26,20.655
2018-04-27,20.546
2018-04-28,20.547
2018-04-29,20.345
2018-04-30,20.436
2018-05-01,20.287
2018-05-02,20.419
2018-05-03,20.325
2018-05-04,20.167
2018-05-05,19.964
2018-05-06,19.908
2018-05-07,19.876
2018-05-08,19.945
2018-05-09,19.743
2018-05-10,19.154
2018-05-11,19.098
2018-05-12,19.234
2018-05-13,18.987
2018-05-14,19.087
2018-05-15,19.067
2018-05-16,19.186
2018-05-17,19.545
2018-05-18,19.789
2018-05-19,20.987
2018-05-20,20.897
2018-05-21,20.598
2018-05-22,20.568
2018-05-23,20.498
2018-05-24,20.675
2018-05-25,20.665
2018-05-26,20.689
2018-05-27,20.785
2018-05-28,20.453
2018-05-29,20.423
2018-05-30,20.29
2018-05-31,20.102
2018-06-01,19.876
2018-06-02,19.877
2018-06-03,19.765
2018-06-04,19.675
2018-06-05,19.732
2018-06-06,19.7
2018-06-07,19.574
2018-06-08,19.69
2018-06-09,19.79
2018-06-10,19.856
2018-06-11,20.235
2018-06-12,20.457
2018-06-13,20.534
2018-06-14,21.521
2018-06-15,22.432
2018-06-16,22.398
2018-06-17,22.267
2018-06-18,21.243
2018-06-19,22.29
2018-06-20,23.113
2018-06-21,22.145
2018-06-22,21.098
2018-06-23,20.567
2018-06-24,19.324
2018-06-25,18.512
2018-06-26,18.53
2018-06-27,18.556
2018-06-28,18.789
2018-06-29,18.478
2018-06-30,18.432
2018-07-01,18.675
2018-07-02,18.634
2018-07-03,18.79
2018-07-04,19.145
2018-07-05,19.156
2018-07-06,19.257
2018-07-07,19.519
2018-07-08,19.959
2018-07-09,19.959
2018-07-10,19.962
2018-07-11,20.11
2018-07-12,20.123
2018-07-13,20.212
2018-07-14,20.234
2018-07-15,20.212
2018-07-16,20.235
2018-07-17,20.12
2018-07-18,19.954
2018-07-19,19.937
2018-07-20,19.923
2018-07-21,19.909
2018-07-22,19.874
2018-07-23,18.864
2018-07-24,18.862
2018-07-25,18.868
2018-07-26,18.868
2018-07-27,18.746
2018-07-28,18.145
2018-07-29,18.504
2018-07-30,18.51
2018-07-31,18.534
2018-08-01,18.523
2018-08-02,18.187
2018-08-03,17.547
2018-08-04,18.553
2018-08-05,18.654
2018-08-06,18.523
2018-08-07,18.789
2018-08-08,18.432
2018-08-09,18.416
2018-08-10,18.123
2018-08-11,18.05
2018-08-12,17.546
2018-08-13,17.215
2018-08-14,17.134
2018-08-15,17.056
2018-08-16,16.001
2018-08-17,15.068
2018-08-18,14.039
2018-08-19,14.012
2018-08-20,14.345
2018-08-21,14.534
2018-08-22,14.378
2018-08-23,15.667
2018-08-24,15.498
2018-08-25,16.235
2018-08-26,16.203
2018-08-27,16.198
2018-08-28,16.123
2018-08-29,16.245
2018-08-30,16.327
2018-08-31,16.345
2018-09-01,16.234
2018-09-02,16.258
2018-09-03,16.367
2018-09-04,16.28
2018-09-05,16.312
2018-09-06,16.43
2018-09-07,16.4
2018-09-08,16.577
2018-09-09,17.123
2018-09-10,17.245
2018-09-11,17.234
2018-09-12,17.255
2018-09-13,17.567
2018-09-14,17.534
2018-09-15,17.552
2018-09-16,17.67
2018-09-17,17.835
2018-09-18,17.814
2018-09-19,17.793
2018-09-20,17.786
2018-09-21,17.797
2018-09-22,17.632
2018-09-23,17.52
2018-09-24,17.387
2018-09-25,17.147
2018-09-26,16.567
2018-09-27,16.432
2018-09-28,16.412
2018-09-29,16.398
2018-09-30,16.267
2018-10-01,16.786
2018-10-02,16.89
2018-10-03,16.9
2018-10-04,16.92
2018-10-05,16.987
2018-10-06,16.987
2018-10-07,16.994
2018-10-08,16.979
